Provincienaam,population,litter_all,litter1kppl_iqr,litter_sd,n_gementee,popmil,popthou,litter_1kppl,litter_1kppl_z
Drenthe,491792,13474,9.5,51.2495521,12,0.49,491.8,27.4,-0.8
Flevoland,407818,23476,49.4,36.19598965,6,0.41,407.8,57.6,-0.3
Friesland,646874,53109,77.9,126.3314991,24,0.65,646.9,82.1,0.1
Gelderland,2047902,425645,152.3,741.2414668,54,2.05,2047.9,207.8,2.1
Groningen,583581,12493,12.5,38.4424872,23,0.58,583.6,21.4,-0.9
Limburg,1117546,38885,23.1,53.90881084,33,1.12,1117.5,34.8,-0.6
Noord-Brabant,2512530,220769,23.9,190.0859454,64,2.51,2512.5,87.9,0.2
Noord-Holland,2809483,573410,134.5,670.6638308,48,2.81,2809.5,204.1,2
Overijssel,1147687,35279,22.1,49.88129242,25,1.15,1147.7,30.7,-0.7
Utrecht,1319251,64437,35.9,61.5273711,28,1.32,1319.3,48.8,-0.4
Zeeland,381568,19490,64.1,83.9605211,13,0.38,381.6,51.1,-0.4
Zuid-Holland,3615475,215647,42.2,154.2612558,58,3.62,3615.5,59.6,-0.3